#x,action
-208.33333333333334,6.0
0.0,6.0
208.33333333333334,5.0
416.66666666666669,5.0
625.0,5.0
833.33333333333337,5.0
1041.6666666666667,5.0
1250.0,5.0
1458.3333333333333,5.0
1666.6666666666665,5.0
1874.9999999999998,5.0
2083.333333333333,5.0
2291.6666666666665,5.0
2500.0,5.0
2708.3333333333335,5.0
2916.666666666667,5.0
3125.0000000000005,5.0
3333.3333333333339,5.0
3541.6666666666674,5.0
3750.0000000000009,5.0
3958.3333333333344,5.0
4166.6666666666679,5.0
4375.0000000000009,5.0
4583.3333333333339,5.0
4791.666666666667,5.0
5000.0,5.0
5208.333333333333,5.0
5416.6666666666661,5.0
5624.9999999999991,5.0
5833.3333333333321,5.0
6041.6666666666652,5.0
6249.9999999999982,5.0
6458.3333333333312,5.0
6666.6666666666642,5.0
6874.9999999999973,5.0
7083.3333333333303,5.0
7291.6666666666633,5.0
7499.9999999999964,5.0
7708.3333333333294,5.0
7916.6666666666624,5.0
8124.9999999999955,5.0
8333.3333333333285,5.0
8541.6666666666624,5.0
8749.9999999999964,5.0
8958.3333333333303,5.0
9166.6666666666642,5.0
9374.9999999999982,5.0
9583.3333333333321,5.0
9791.6666666666661,5.0
10000.0,5.0
